name,gender,status,affiliation,faction,role,weapon,emotion,mission_count,location,rank,loyalty
Viggo Tarasov,Male,Excommunicated,Ruska Roma,Ruska Roma,Courier,Poison,strategic,2,Continental NYC,5,9
Sasha,Female,Excommunicated,Continental NYC,Continental NYC,Cleaner,Poison,vengeful,1,Berlin,9,8
Young Charon O'Connor,Male,Excommunicated,The Desert,The Desert,Scout,Bare Hands,furious,1,Ruska Roma,3,5
Marcus,Male,Excommunicated,Berlin,Berlin,Manager,Pistol,nervous,4,High Table,2,5
Charlie,Male,Deceased,High Table,High Table,Sniper,Knife,grieving,3,Continental NYC,6,9
Orson,Male,Excommunicated,High Table Vault,High Table Vault,Assassin,Bare Hands,calm,5,Ruska Roma,4,9
Aurelio,Male,Deceased,Continental NYC,Continental NYC,Scout,Shotgun,focused,4,High Table,7,4
Prudence,Male,Deceased,Casablanca,Casablanca,Manager,Knife,grieving,1,High Table,4,5
Ella Pine,Female,Deceased,Casablanca,Casablanca,Manager,Katana,furious,2,Yakuza Syndicate,3,2
Frankie Scott,Male,Alive,High Table,High Table,Information Broker,Rifle,furious,0,Tarkov Brotherhood,6,1
The Sculptor,Male,Deceased,Casablanca,Casablanca,Cleaner,Pistol,focused,3,High Table,7,8
Abraham,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Manager,Bare Hands,vengeful,5,High Table Vault,7,9
Mikhail Jovonovich,Male,Deceased,High Table Vault,High Table Vault,Information Broker,Knife,nervous,5,The Desert,2,6
The Russian,Male,Deceased,Continental Osaka,Continental Osaka,Assassin,Poison,nervous,5,Tarkov Brotherhood,9,3
Karl,Male,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Scout,Bare Hands,furious,5,The Desert,8,6
The Cook,Male,Deceased,Berlin,Berlin,Doctor,Shotgun,strategic,5,Continental NYC,9,8
Nogi,Male,Excommunicated,The Desert,The Desert,Assassin,Rifle,furious,4,High Table Vault,2,9
The Harbinger,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Cleaner,Katana,cold,3,Berlin,5,7
Petrov,Male,Alive,Berlin,Berlin,Doctor,Poison,nervous,5,Yakuza Syndicate,1,10
Lou Burton,Male,Deceased,Bowery Network,Bowery Network,Sniper,Poison,nervous,5,Continental Osaka,4,2
Cormac O'Connor,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Sniper,Explosives,furious,3,Continental NYC,2,3
Sasha,Female,Excommunicated,Continental NYC,Continental NYC,Sniper,Rifle,strategic,1,The Desert,5,6
Uncle Pyotr Jovonovich,Male,Excommunicated,Berlin,Berlin,Sniper,Pistol,furious,3,Bowery Network,4,2
O'Connor,Male,Deceased,Continental Osaka,Continental Osaka,Sniper,Pistol,furious,4,Casablanca,6,6
Gretel,Male,Deceased,Continental NYC,Continental NYC,Manager,Bare Hands,furious,5,Yakuza Syndicate,3,9
Frankie Scott,Male,Deceased,High Table,High Table,Doctor,Shotgun,calm,5,Continental NYC,8,6
Mayhew,Male,Alive,Casablanca,Casablanca,Manager,Pistol,calm,3,Continental NYC,2,3
"Kate ""KD"" Di Silva",Female,Alive,Yakuza Syndicate,Yakuza Syndicate,Manager,Poison,nervous,1,Continental NYC,3,8
Ekaterina,Female,Excommunicated,Ruska Roma,Ruska Roma,Sniper,Katana,calm,4,Tarkov Brotherhood,5,7
Luca,Male,Deceased,High Table Vault,High Table Vault,Sniper,Bare Hands,focused,1,Bowery Network,3,8
Katya Jovonovich,Female,Alive,Continental Osaka,Continental Osaka,Courier,Pistol,focused,2,Continental Osaka,4,7
Young Winston Scott,Male,Excommunicated,Tarkov Brotherhood,Tarkov Brotherhood,Doctor,Poison,nervous,1,Casablanca,10,1
Marquis Vincent Bisset de Gramont,Male,Deceased,Berlin,Berlin,Scout,Shotgun,strategic,3,Yakuza Syndicate,8,5
Ivana,Female,Excommunicated,Bowery Network,Bowery Network,Courier,Poison,strategic,2,Berlin,6,8
Yegor,Male,Alive,Continental Osaka,Continental Osaka,Courier,Rifle,strategic,3,The Desert,5,10
Ella Pine,Female,Excommunicated,Casablanca,Casablanca,Doctor,Explosives,focused,2,High Table,3,5
Aurelio,Male,Alive,Continental NYC,Continental NYC,Manager,Bare Hands,grieving,1,The Desert,8,6
Rufus,Male,Excommunicated,Bowery Network,Bowery Network,Assassin,Bare Hands,strategic,2,Casablanca,8,5
Ms. Perkins,Female,Excommunicated,Yakuza Syndicate,Yakuza Syndicate,Manager,Shotgun,grieving,4,Continental NYC,7,9
Yuri,Male,Excommunicated,Ruska Roma,Ruska Roma,Scout,Shotgun,focused,4,Casablanca,7,2
Orson,Male,Deceased,High Table Vault,High Table Vault,Cleaner,Knife,cold,2,Bowery Network,10,5
Nogi,Male,Deceased,The Desert,The Desert,Scout,Poison,calm,2,Ruska Roma,5,7
Rufus,Male,Alive,Bowery Network,Bowery Network,Sniper,Katana,furious,5,Tarkov Brotherhood,5,6
O'Connor,Male,Excommunicated,Continental Osaka,Continental Osaka,Doctor,Explosives,grieving,1,High Table Vault,10,8
The Sculptor,Male,Deceased,Casablanca,Casablanca,Sniper,Knife,focused,3,Continental NYC,3,7
The Harbinger,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Manager,Pistol,furious,5,Casablanca,1,8
Charlie,Male,Excommunicated,High Table,High Table,Manager,Shotgun,strategic,0,The Desert,8,2
The Harbinger,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Manager,Katana,vengeful,4,Continental NYC,5,1
Marcus,Male,Alive,Berlin,Berlin,Information Broker,Bare Hands,vengeful,3,Casablanca,8,3
Karl,Male,Alive,Yakuza Syndicate,Yakuza Syndicate,Information Broker,Bare Hands,furious,2,The Desert,1,9
Ms. Perkins,Female,Deceased,Yakuza Syndicate,Yakuza Syndicate,Scout,Knife,strategic,4,Casablanca,8,10
Dimitri,Male,Excommunicated,The Desert,The Desert,Doctor,Bare Hands,furious,1,Bowery Network,7,7
