Minute,Kill Count,Weapon,Who,Where,Injury_Sustained,Bullets_Fired,Headshots,Sum_Target_Hit,Count_Target_Missed
1,0,,,,,,,,
2,0,,,,,,,,
3,1,Handgun,The Elder's Member,Desert,,17.0,,,
3,1,Handgun,The Elder's Member,Desert,,,1.0,,
3,1,Handgun,The Elder's Member,Desert,,,1.0,,
4,0,,,,,,,,
5,1,Handgun,The Elder,Desert,,2.0,1.0,,
6,0,,,,,,,,
7,0,,,,,,,,
8,0,,,,,,,,
9,0,,,,,,,,
10,0,,,,,,,,
11,0,,,,,,,,
12,0,,,,,,,,
13,0,,,,,,,,
14,0,,,,,,,,
15,0,,,,,,,,
16,0,,,,,,,,
17,0,,,,,,,,
18,0,,,,,,,,
19,0,,,,,,,,
20,0,,,,,,,,
21,0,,,,,,,,
22,0,,,,,,,,
23,0,,,,,,,,
24,0,,,,,,,,
25,0,,,,,,,,
26,0,,,,,,,,
27,0,,,,,,,,
28,0,,,,,,,,
29,0,,,,,,,,
30,0,,,,,,,,
31,1,Handgun,High Table Soldier,Osaka Continental,,29.0,1.0,,
32,1,Handgun,High Table Soldier,Osaka Continental,,6.0,1.0,,
32,1,Handgun,High Table Soldier,Osaka Continental,,10.0,1.0,,
32,1,Handgun,High Table Soldier,Osaka Continental,,2.0,1.0,,
33,0,,,,,,,,
34,0,,,,,,,,
35,0,,,,,,,,
36,1,Stairs,High Table Soldier,Osaka Continental,,3.0,,,
36,1,Hand,High Table Soldier,Osaka Continental,,1.0,,,
37,1,Handgun,Myrmidons,Osaka Continental,,4.0,,,
37,1,Handgun,Myrmidons,Osaka Continental,,3.0,,,
37,1,Handgun,Myrmidons,Osaka Continental,,2.0,1.0,,
38,1,Handgun,High Table Soldier,Osaka Continental,,10.0,1.0,,
38,1,Handgun,High Table Soldier,Osaka Continental,,17.0,1.0,,
38,1,Handgun,High Table Soldier,Osaka Continental,,,1.0,,
38,1,Handgun,High Table Soldier,Osaka Continental,,2.0,1.0,,
39,1,Handgun+Knife,High Table Soldier,Osaka Continental,,20.0,,,
39,1,Handgun+Knife,High Table Soldier,Osaka Continental,,10.0,,,
40,1,Handgun,Myrmidons,Osaka Continental,Slammed Through Glass,17.0,1.0,,
